plant,rule,axis,factor,kp,ki,kd,survived,rise_s,settle_s,overshoot_pct,iae,u_tv
typical L/T=0.3,Tyreus-Luyben,tau,0.50,1.32529,0.55652,0.22771,0,0.1800,25.0000,68.070,14.85661,255.9184
typical L/T=0.3,Tyreus-Luyben,tau,0.70,1.32529,0.55652,0.22771,1,0.2400,6.5100,5.358,0.91578,8.3692
typical L/T=0.3,Tyreus-Luyben,tau,1.00,1.32529,0.55652,0.22771,1,1.0500,5.7200,0.000,0.88839,2.7068
typical L/T=0.3,Tyreus-Luyben,tau,1.40,1.32529,0.55652,0.22771,1,1.1900,4.3400,0.000,0.88842,1.4893
typical L/T=0.3,Tyreus-Luyben,tau,1.70,1.32529,0.55652,0.22771,1,1.2800,3.0100,0.000,0.88843,1.2428
typical L/T=0.3,Tyreus-Luyben,tau,2.00,1.32529,0.55652,0.22771,1,1.3700,2.6000,0.471,0.92503,1.1887
typical L/T=0.3,Tyreus-Luyben,delay,0.50,1.32529,0.55652,0.22771,1,1.6500,5.9800,0.000,0.88837,1.8641
typical L/T=0.3,Tyreus-Luyben,delay,0.70,1.32529,0.55652,0.22771,1,1.5100,5.8800,0.000,0.88838,2.1842
typical L/T=0.3,Tyreus-Luyben,delay,1.00,1.32529,0.55652,0.22771,1,1.0500,5.7200,0.000,0.88839,2.7068
typical L/T=0.3,Tyreus-Luyben,delay,1.40,1.32529,0.55652,0.22771,1,0.3400,5.3900,10.044,0.93891,3.7306
typical L/T=0.3,Tyreus-Luyben,delay,1.70,1.32529,0.55652,0.22771,1,0.3400,6.4100,27.548,1.17571,5.0853
typical L/T=0.3,Tyreus-Luyben,delay,2.00,1.32529,0.55652,0.22771,1,0.3400,9.2800,44.510,1.77298,7.6239
typical L/T=0.3,Pessen-Integral,gain,0.50,2.06156,4.76137,0.33473,1,0.5400,3.8000,27.246,0.92558,1.6356
typical L/T=0.3,Pessen-Integral,gain,0.70,2.06156,4.76137,0.33473,1,0.3600,3.1600,30.982,0.80579,1.8587
typical L/T=0.3,Pessen-Integral,gain,1.00,2.06156,4.76137,0.33473,1,0.2300,2.9000,32.879,0.69643,4.0407
typical L/T=0.3,Pessen-Integral,gain,1.40,2.06156,4.76137,0.33473,0,0.1600,25.0000,72.333,11.01452,233.4768
typical L/T=0.3,Pessen-Integral,gain,1.70,2.06156,4.76137,0.33473,0,0.1300,25.0000,89.536,14.84686,260.4067
