scenario,k,cmd,rc,output,setpoint,error,p,i,d,ff,unsat,flags,last_error
aw_back_calc_kt,3,u,0,1,10,9.8000000000000007,19.600000000000001,-1,-0.44444444444444442,0,21.09555555555556,5,0
aw_back_calc_kt,4,u,0,1,10,9.5999999999999996,19.199999999999999,-1,-0.81481481481481477,0,20.265185185185185,5,0
aw_back_calc_kt,5,u,0,1,10,9.1999999999999993,18.399999999999999,-1,-1.6049382716049383,0,18.55506172839506,5,0
aw_back_calc_default_kt,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
aw_back_calc_default_kt,1,u,0,1,10,10,20,-1,0,0,23,5,0
aw_back_calc_default_kt,2,u,0,1,10,9.9000000000000004,19.800000000000001,-1,-0.33333333333333331,0,21.436666666666671,5,0
aw_back_calc_default_kt,3,u,0,1,10,9.8000000000000007,19.600000000000001,-1,-0.44444444444444442,0,21.09555555555556,5,0
aw_back_calc_default_kt,4,u,0,1,10,9.5999999999999996,19.199999999999999,-1,-0.81481481481481477,0,20.265185185185185,5,0
aw_back_calc_default_kt,5,u,0,1,10,9.1999999999999993,18.399999999999999,-1,-1.6049382716049383,0,18.55506172839506,5,0
aw_back_calc_no_limits,0,init,5,0,nan,nan,nan,nan,nan,nan,nan,0,0
aw_tracking,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
aw_tracking,1,u,0,1,10,10,20,-1,0,0,23,5,0
aw_tracking,2,u,0,1,10,9.9000000000000004,19.800000000000001,-1,0,0,21.770000000000003,5,0
aw_tracking,3,u,0,1,10,9.8000000000000007,19.600000000000001,-1,0,0,21.540000000000003,5,0
aw_tracking,4,u,0,1,10,9.6999999999999993,19.399999999999999,-1,0,0,21.309999999999999,5,0
aw_tracking,5,u,0,1,10,9.5999999999999996,19.199999999999999,-1,0,0,21.079999999999998,5,0
aw_tracking,6,u,0,1,10,9.5,19,-1,0,0,20.850000000000001,5,0
aw_tracking_via_input,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
aw_tracking_via_input,1,uex,0,1,10,10,20,-1,0,0,23,5,0
aw_tracking_via_input,2,uex,0,1,10,9.9000000000000004,19.800000000000001,-1,0,0,21.770000000000003,5,0
aw_tracking_via_input,3,uex,0,1,10,9.8000000000000007,19.600000000000001,-1,0,0,21.540000000000003,5,0
aw_tracking_via_input,4,uex,0,1,10,9.6999999999999993,19.399999999999999,-1,0,0,21.309999999999999,5,0
integral_separation,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
integral_separation,1,u,0,10,10,10,10,0,0,0,10,0,0
integral_separation,2,u,0,8,10,8,8,0,0,0,8,0,0
integral_separation,3,u,0,5,10,5,5,0,0,0,5,0,0
integral_separation,4,u,0,3,10,2.5,2.5,0.5,0,0,3,4,0
integral_separation,5,u,0,2.2999999999999998,10,1.5,1.5,0.80000000000000004,0,0,2.2999999999999998,4,0
integral_separation,6,u,0,1.3999999999999999,10,0.5,0.5,0.90000000000000002,0,0,1.3999999999999999,4,0
integral_separation,7,u,0,0.90000000000000002,10,0,0,0.90000000000000002,0,0,0.90000000000000002,4,0
integral_deadband,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
integral_deadband,1,u,0,1.2,10,1,1,0.20000000000000001,0,0,1.2,4,0
integral_deadband,2,u,0,0.9199999999999996,10,0.59999999999999964,0.59999999999999964,0.31999999999999995,0,0,0.9199999999999996,4,0
integral_deadband,3,u,0,0.62000000000000066,10,0.30000000000000071,0.30000000000000071,0.31999999999999995,0,0,0.62000000000000066,0,0
integral_deadband,4,u,0,0.4199999999999996,10,0.099999999999999645,0.099999999999999645,0.31999999999999995,0,0,0.4199999999999996,0,0
integral_deadband,5,u,0,0.31999999999999995,10,0,0,0.31999999999999995,0,0,0.31999999999999995,0,0
integral_deadband,6,u,0,0.12000000000000066,10,-0.19999999999999929,-0.19999999999999929,0.31999999999999995,0,0,0.12000000000000066,0,0
integral_disabled,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
integral_disabled,1,u,0,10,10,10,10,0,0,0,10,0,0
integral_disabled,2,u,0,8,10,8,8,0,0,0,8,0,0
integral_disabled,3,u,0,5,10,5,5,0,0,0,5,0,0
integral_runtime_toggle,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
integral_runtime_toggle,1,u,0,12,10,10,10,2,0,0,12,4,0
integral_runtime_toggle,2,u,0,11.6,10,8,8,3.6000000000000001,0,0,11.6,4,0
integral_runtime_toggle,3,u,0,9.5999999999999996,10,6,6,3.6000000000000001,0,0,9.5999999999999996,0,0
integral_runtime_toggle,4,u,0,7.5999999999999996,10,4,4,3.6000000000000001,0,0,7.5999999999999996,0,0
integral_runtime_toggle,5,u,0,6,10,2,2,4,0,0,6,4,0
integral_runtime_toggle,6,u,0,5.2000000000000002,10,1,1,4.2000000000000002,0,0,5.2000000000000002,4,0
manual_tracking_bumpless,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
manual_tracking_bumpless,1,u,5,1.25,4,4,8,-5,0,0,1.25,40,5
manual_tracking_bumpless,2,u,5,1.25,4,3.5,7,-5,-0.33333333333333331,0,1.25,40,5
manual_tracking_bumpless,3,u,5,1.25,4,3,6,-4.3055555555555554,-0.44444444444444442,0,1.25,32,5
manual_tracking_bumpless,4,u,5,0.46296296296296319,4,2.5,5,-4.0555555555555554,-0.48148148148148145,0,0.46296296296296319,4,5
manual_tracking_bumpless,5,u,5,-0.34938271604938231,4,2,4,-3.8555555555555552,-0.49382716049382713,0,-0.34938271604938231,4,5
manual_tracking_bumpless,6,u,5,-1.2034979423868308,4,1.5,3,-3.7055555555555553,-0.49794238683127567,0,-1.2034979423868308,4,5
hold_mode,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
hold_mode,1,u,0,8.4000000000000004,4,4,8,0.40000000000000002,0,0,8.4000000000000004,4,0
hold_mode,2,u,0,7.416666666666667,4,3.5,7,0.75,-0.33333333333333331,0,7.416666666666667,4,0
hold_mode,3,u,0,6.3055555555555554,4,3,6,0.75,-0.44444444444444442,0,6.3055555555555554,0,0
hold_mode,4,u,0,5.2685185185185182,4,2.5,5,0.75,-0.48148148148148145,0,5.2685185185185182,0,0
hold_mode,5,u,0,4.4561728395061735,4,2,4,0.94999999999999996,-0.49382716049382713,0,4.4561728395061735,4,0
hold_mode,6,u,0,3.6020576131687241,4,1.5,3,1.1000000000000001,-0.49794238683127567,0,3.6020576131687241,4,0
hold_with_back_calc,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
hold_with_back_calc,1,u,0,1,10,10,20,-0.30000000000000027,0,0,23,5,0
hold_with_back_calc,2,u,0,1,10,10,20,-0.55500000000000016,0,0,22.699999999999999,5,0
hold_with_back_calc,3,u,0,1,10,10,20,-0.55500000000000016,0,0,19.445,1,0
hold_with_back_calc,4,u,0,1,10,10,20,-0.55500000000000016,0,0,19.445,1,0
hold_with_back_calc,5,u,0,1,10,10,20,-0.77175000000000038,0,0,22.445,5,0
manual_clamped_transfer,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
manual_clamped_transfer,1,u,5,0.5,50,50,150,-1,0,0,0.5,40,5
manual_clamped_transfer,2,u,5,1,50,50,150,1,0,0,151,13,5
manual_clamped_transfer,3,u,5,1,50,50,150,1,0,0,151,13,5
reverse_acting,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
reverse_acting,1,u,0,-10.5,5,-5,-10,-0.5,0,0,-10.5,4,0
reverse_acting,2,u,0,-7.5666666666666673,5,-4,-8,-0.90000000000000002,1.3333333333333333,0,-7.5666666666666673,4,0
reverse_acting,3,u,0,-1.9888888888888889,5,-2,-4,-1.1000000000000001,3.1111111111111107,0,-1.9888888888888889,4,0
reverse_acting,4,u,0,2.6037037037037032,5,-0,-0,-1.1000000000000001,3.7037037037037033,0,2.6037037037037032,4,0
reverse_acting,5,u,0,3.5679012345679011,5,1,2,-1,2.5679012345679011,0,3.5679012345679011,4,0
direction_flip_runtime,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
direction_flip_runtime,1,u,0,10.5,5,5,10,0.5,0,0,10.5,4,0
direction_flip_runtime,2,u,0,7.5666666666666673,5,4,8,0.90000000000000002,-1.3333333333333333,0,7.5666666666666673,4,0
direction_flip_runtime,3,u,0,-4.5111111111111111,5,-3,-6,0.59999999999999998,0.88888888888888884,0,-4.5111111111111111,4,0
direction_flip_runtime,4,u,0,-1.9703703703703705,5,-2,-4,0.39999999999999997,1.6296296296296295,0,-1.9703703703703705,4,0
sp_ramp_rate_only,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
sp_ramp_rate_only,1,u,0,0.20000000000000001,0.20000000000000001,0.20000000000000001,0.20000000000000001,0,0,0,0.20000000000000001,516,0
sp_ramp_rate_only,2,u,0,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0,0,0,0.40000000000000002,516,0
sp_ramp_rate_only,3,u,0,0.60000000000000009,0.60000000000000009,0.60000000000000009,0.60000000000000009,0,0,0,0.60000000000000009,516,0
sp_ramp_rate_only,4,u,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0.80000000000000004,516,0
sp_ramp_rate_only,5,u,0,1,1,1,1,0,0,0,1,516,0
sp_ramp_trapezoid,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
